url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/humeai/jobs/4948192008	2026-04-12	greenhouse-api	Front-End Engineer	Hume AI	added
https://job-boards.eu.greenhouse.io/polyai/jobs/4723162101	2026-04-12	greenhouse-api	Engineering Manager - Runtime Team 	PolyAI	added
https://job-boards.eu.greenhouse.io/polyai/jobs/4658649101	2026-04-12	greenhouse-api	Senior Full Stack Engineer  (Must be based in UK)	PolyAI	added
https://job-boards.greenhouse.io/airtable/jobs/8397665002	2026-04-12	greenhouse-api	Engineering Manager, Enterprise Product	Airtable	added
https://job-boards.greenhouse.io/airtable/jobs/8397137002	2026-04-12	greenhouse-api	Software Engineer, Product Frontend (2-8 YOE)	Airtable	added
https://jobs.ashbyhq.com/elevenlabs/5881bc5d-765a-430e-9d28-7d598a0e1a03	2026-04-12	ashby-api	Full-Stack Growth Engineer 	ElevenLabs	added
https://jobs.ashbyhq.com/elevenlabs/c7d59014-b918-4c15-ae33-79f5c9f2cf9f	2026-04-12	ashby-api	Full-Stack Engineer (Back-End Leaning)	ElevenLabs	added
https://jobs.ashbyhq.com/elevenlabs/ada7cd2c-8b9f-4f19-a88b-7c2ca1be1fde	2026-04-12	ashby-api	Full-Stack Engineer (Front-End Leaning)	ElevenLabs	added
https://jobs.ashbyhq.com/elevenlabs/6a530871-b6c6-4783-ac6b-69cc3b084192	2026-04-12	ashby-api	Full-Stack Engineer	ElevenLabs	added
https://job-boards.greenhouse.io/arizeai/jobs/5421310004	2026-04-12	greenhouse-api	Engineering Manager - Product & Platform	Arize AI	added
https://job-boards.greenhouse.io/arizeai/jobs/5396420004	2026-04-12	greenhouse-api	Senior AI Product Engineer, Fullstack	Arize AI	added
https://job-boards.greenhouse.io/vercel/jobs/5829980004	2026-04-12	greenhouse-api	Engineering Manager, AI Gateway	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5701765004	2026-04-12	greenhouse-api	Engineering Manager, CDN	Vercel	added
https://job-boards.greenhouse.io/vercel/jobs/5461002004	2026-04-12	greenhouse-api	Sr. Engineering Manager, Platform	Vercel	added
https://job-boards.eu.greenhouse.io/parloa/jobs/4838497101	2026-04-12	greenhouse-api	Team Lead, Business Development - Western Europe	Parloa	added
https://job-boards.eu.greenhouse.io/parloa/jobs/4776852101	2026-04-12	greenhouse-api	Team Lead, Enterprise Engagement DACH	Parloa	added
https://job-boards.greenhouse.io/intercom/jobs/7776426	2026-04-12	greenhouse-api	Engineering Manager, AI Models Infrastructure	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7765466	2026-04-12	greenhouse-api	Engineering Manager, Forward Deployed Engineering	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/6386427	2026-04-12	greenhouse-api	Principal Engineer 	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7725837	2026-04-12	greenhouse-api	Principal Engineer, Fin AI Agent	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7515664	2026-04-12	greenhouse-api	Principal Engineer, Web Platform – Team Web	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7574783	2026-04-12	greenhouse-api	Senior Data Engineering Manager 	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7699745	2026-04-12	greenhouse-api	Senior Engineering Manager - Developer Experience Platform	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7610471	2026-04-12	greenhouse-api	Senior Engineering Manager - Team Billing	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7276257	2026-04-12	greenhouse-api	Senior Full Stack Engineer - Team Web	Intercom	added
https://job-boards.greenhouse.io/intercom/jobs/7601731	2026-04-12	greenhouse-api	Senior Security Engineering Manager	Intercom	added
https://job-boards.greenhouse.io/runpod/jobs/5020164008	2026-04-12	greenhouse-api	Engineering Manager - Product & Platform Delivery	RunPod	added
https://job-boards.greenhouse.io/runpod/jobs/4785681008	2026-04-12	greenhouse-api	Software Engineer (Full-Stack) 	RunPod	added
https://job-boards.greenhouse.io/anthropic/jobs/5159608008	2026-04-12	greenhouse-api	Engineering Manager, Agent Prompts & Evals	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4889396008	2026-04-12	greenhouse-api	Engineering Manager, Auth & Identity	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5140492008	2026-04-12	greenhouse-api	Engineering Manager, Claude for Financial Services	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5141377008	2026-04-12	greenhouse-api	Engineering Manager, Cloud Inference AWS	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5068296008	2026-04-12	greenhouse-api	Engineering Manager, Detection and Response	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4741104008	2026-04-12	greenhouse-api	Engineering Manager, GPU (ML Accelerator)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/4741102008	2026-04-12	greenhouse-api	Engineering Manager, Inference	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5155391008	2026-04-12	greenhouse-api	Engineering Manager, Inference Routing and Performance	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5119478008	2026-04-12	greenhouse-api	Engineering Manager, People Products	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5146363008	2026-04-12	greenhouse-api	Engineering Manager, Product Monetization (Billing Platform)	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5103078008	2026-04-12	greenhouse-api	Engineering Manager, Safeguards Data Infrastructure	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5098565008	2026-04-12	greenhouse-api	Senior Full Stack Engineer, Education	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5174743008	2026-04-12	greenhouse-api	Software Engineer, Full-stack	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5174747008	2026-04-12	greenhouse-api	Staff+ Software Engineer, Full-stack	Anthropic	added
https://jobs.ashbyhq.com/lindy/a5100dbe-d851-4544-bb4c-0428d77940eb	2026-04-12	ashby-api	Full Stack Software Engineer (Early Career)	Lindy	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006733005	2026-04-12	greenhouse-api	Software Engineer, Frontend	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4006734005	2026-04-12	greenhouse-api	Software Engineer, Fullstack	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4676087005	2026-04-12	greenhouse-api	Solutions Engineering Manager	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4388073005	2026-04-12	greenhouse-api	Tech Lead Manager	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4677083005	2026-04-12	greenhouse-api	Tech Lead Manager, Agentic Runtime 	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4673278005	2026-04-12	greenhouse-api	Tech Lead Manager, Apps & App Infrastructure	Glean	added
https://job-boards.greenhouse.io/gleanwork/jobs/4656233005	2026-04-12	greenhouse-api	Tech Lead Manager, Billing & Insights	Glean	added
https://jobs.ashbyhq.com/zapier/3b141014-1d0f-426e-94e5-997b2cfd6ae8	2026-04-12	ashby-api	Sr. Fullstack Engineer - Identity Platform	Zapier	added
https://jobs.ashbyhq.com/zapier/2b57e91a-725f-4e57-aa49-716e0f26eead	2026-04-12	ashby-api	Staff Engineer, Applied AI	Zapier	added
https://jobs.ashbyhq.com/deepgram/4e87eb01-262c-4978-9a29-b8cdf09386df	2026-04-12	ashby-api	Engineering Manager, Active Learning	Deepgram	added
https://jobs.ashbyhq.com/deepgram/c270da71-66b3-4f9f-9ee1-773a062944d3	2026-04-12	ashby-api	QA Engineering Manager	Deepgram	added
https://jobs.ashbyhq.com/deepgram/d6558e6d-cefe-41f1-97aa-21e964cab0f4	2026-04-12	ashby-api	Engineering Manager, Engine Team	Deepgram	added
https://jobs.ashbyhq.com/n8n/d195a389-6af5-4b95-82e5-2258953c7297	2026-04-12	ashby-api	Sr AI Engineer | Remote - Europe | TS/Vue/NodeJS	n8n	added
https://jobs.ashbyhq.com/n8n/5c1d1b67-604c-46b3-9c59-cfe0cd703688	2026-04-12	ashby-api	Staff LLM Interaction Engineer (Europe remote - TS/Vue/NodeJS)	n8n	added
https://jobs.ashbyhq.com/n8n/896c58a8-0388-4037-b265-82b15633a568	2026-04-12	ashby-api	Senior Product Engineer (TS/NodeJS/Vue)	n8n	added
https://jobs.ashbyhq.com/n8n/1221b66d-ff24-451d-bf09-f2f70be33501	2026-04-12	ashby-api	Engineering Manager | Remote | Europe 	n8n	added
https://jobs.ashbyhq.com/n8n/86dac484-02e1-4600-856e-ac527e084677	2026-04-12	ashby-api	Engineering Manager | n8n Community | Remote-Europe	n8n	added
https://jobs.ashbyhq.com/langchain/05efa205-8560-43fd-bfcc-3f7697561cfb	2026-04-12	ashby-api	JavaScript Engineer (Open Source Team) 	LangChain	added
https://jobs.ashbyhq.com/langchain/afb91b9b-46d5-4c9d-aa84-a4f1a3f74263	2026-04-12	ashby-api	Senior Frontend Engineer, AI Observability & Evals Platform 	LangChain	added
https://jobs.ashbyhq.com/langchain/e1263bfe-b638-4019-b4d5-0aacca93b2b3	2026-04-12	ashby-api	Software Engineering Manager, AI Observability & Evals Platform (New York, NY)	LangChain	added
https://jobs.ashbyhq.com/langchain/a03b3e54-495d-4960-aee7-0194a3cef57d	2026-04-12	ashby-api	Senior Fullstack Engineer,  AI Observability & Evals Platform 	LangChain	added
https://jobs.ashbyhq.com/langchain/9037a071-eef2-4083-83f3-d6a5b531aa1d	2026-04-12	ashby-api	Education Engineer, Fullstack	LangChain	added
https://jobs.ashbyhq.com/langchain/ddf92275-1cc3-49c0-9f25-e8ded43b07f6	2026-04-12	ashby-api	FullStack Engineer,  Observability & Evals Platform (LangSmith)	LangChain	added
https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d	2026-04-12	ashby-api	Fullstack Software Engineer, Applied AI	LangChain	added
https://jobs.ashbyhq.com/langchain/7b4aad6c-db46-489d-8426-72217e2923f2	2026-04-12	ashby-api	Senior Fullstack Engineer, Growth & Monetization	LangChain	added
https://jobs.ashbyhq.com/langchain/33f6d721-f75f-4fcc-8df9-e2a13c018e1c	2026-04-12	ashby-api	Software Engineering Manager, AI Observability & Evals Platform (San Francisco, CA)	LangChain	added
https://jobs.ashbyhq.com/decagon/b295b323-3d01-4126-94c1-9fc7489ebdf0	2026-04-12	ashby-api	Engineering Manager, Agent Orchestration	Decagon	added
https://jobs.ashbyhq.com/decagon/2ebaf3a1-db73-4d6f-b9d7-fc88989d4827	2026-04-12	ashby-api	Engineering Manager, Agents	Decagon	added
https://job-boards.greenhouse.io/celonis/jobs/7517493003?gh_jid=7517493003	2026-04-12	greenhouse-api	Engineering Manager - Celonis Process Management	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7676432003?gh_jid=7676432003	2026-04-12	greenhouse-api	Engineering Manager - Orchestration and Automation	Celonis	added
https://job-boards.greenhouse.io/celonis/jobs/7544126003?gh_jid=7544126003	2026-04-12	greenhouse-api	Value Engineering Manager - Public Sector	Celonis	added
https://jobs.ashbyhq.com/cohere/4b000aff-7c0f-45a0-b67d-cf0cb2ea16a6	2026-04-12	ashby-api	Senior/Staff Full-Stack Engineer	Cohere	added
https://jobs.ashbyhq.com/cohere/f5f727bc-9eab-4fcc-9fdd-92a9ce47c37c	2026-04-12	ashby-api	Full-Stack Software Engineer, Inference	Cohere	added
https://jobs.ashbyhq.com/cohere/2166a40a-1e80-4966-9082-aa4640fc4ac5	2026-04-12	ashby-api	Engineering Manager, North	Cohere	added
https://jobs.ashbyhq.com/attio/adcf5cd2-d86b-421d-9080-b6d9b30d08e7	2026-04-12	ashby-api	Senior Product Engineer [Frontend] 	Attio	added
https://getyourguide.careers/jobs/7602318?gh_jid=7602318	2026-04-12	greenhouse-api	Data Engineering Manager, Supply	GetYourGuide	added
https://getyourguide.careers/jobs/7422312?gh_jid=7422312	2026-04-12	greenhouse-api	Engineering Manager, AI Platform	GetYourGuide	added
https://getyourguide.careers/jobs/7588385?gh_jid=7588385	2026-04-12	greenhouse-api	Engineering Manager, User Profiles 	GetYourGuide	added
https://getyourguide.careers/jobs/7588316?gh_jid=7588316	2026-04-12	greenhouse-api	Senior Team Lead, Business Operations & Strategy	GetYourGuide	added
https://getyourguide.careers/jobs/7548701?gh_jid=7548701	2026-04-12	greenhouse-api	Senior Team Lead, Sales Operations	GetYourGuide	added
https://getyourguide.careers/jobs/7597684?gh_jid=7597684	2026-04-12	greenhouse-api	Staff Engineer, Supply Tech (Backend Focused) 	GetYourGuide	added
https://helsing.ai/jobs/4745179101?gh_jid=4745179101	2026-04-12	greenhouse-api	FP&A Team Lead	Helsing	added
https://helsing.ai/jobs/4126378101?gh_jid=4126378101	2026-04-12	greenhouse-api	Software Engineer - Frontend	Helsing	added
https://helsing.ai/jobs/4741224101?gh_jid=4741224101	2026-04-12	greenhouse-api	Software Engineer - Frontend Autonomous Air System V&V	Helsing	added
https://n26.com/en-eu/careers/positions/7731929?gh_jid=7731929	2026-04-12	greenhouse-api	Engineering Manager - Customer Risk Lifecycle	N26	added
https://n26.com/en-eu/careers/positions/7585025?gh_jid=7585025	2026-04-12	greenhouse-api	Quality Assurance Team Lead	N26	added
https://n26.com/en-eu/careers/positions/7597686?gh_jid=7597686	2026-04-12	greenhouse-api	Senior Full-Stack Security Automation Engineer	N26	added
https://careers.hellofresh.com/global/en/job/7553236?gh_jid=7553236	2026-04-12	greenhouse-api	Fulfillment Operations Team Lead	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7686646?gh_jid=7686646	2026-04-12	greenhouse-api	[HELLOCONNECT] Senior Service Package Team Leader (Procurement)	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7486803?gh_jid=7486803	2026-04-12	greenhouse-api	[HELLOCONNECT] Team Leader, HR Data Management	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7694468?gh_jid=7694468	2026-04-12	greenhouse-api	React Native Engineer (Android), Growth Alliance	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7686905?gh_jid=7686905	2026-04-12	greenhouse-api	Senior Frontend Developer, Growth	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7749527?gh_jid=7749527	2026-04-12	greenhouse-api	Senior Frontend Engineer, Growth Alliance (f/m/x) 	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7757836?gh_jid=7757836	2026-04-12	greenhouse-api	Senior React Native Engineer, Consumer Alliance	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7657409?gh_jid=7657409	2026-04-12	greenhouse-api	Senior React Native Engineer, Growth Alliance	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7759021?gh_jid=7759021	2026-04-12	greenhouse-api	Staff Engineer, Consumer	HelloFresh	added
https://careers.hellofresh.com/global/en/job/7801815?gh_jid=7801815	2026-04-12	greenhouse-api	Team Lead Supply Chain Planning (all genders)	HelloFresh	added
